conlūstrāns	collūstrāns
inpetus	impetus
adcrēverat	accrēverat
inprōvidī	imprōvidī
nonnullae	nōnnūllae
ajunt	aiunt
abiēcerīs	abiēceris
inmēnsa	immēnsa
duxeris	dūxeris
inpositae	impositae
adclīvēs	acclīvēs
majōrum	maiōrum
conjectās	coniectās
hujusce	huiusce
subcubuisse	succubuisse
prōuinciae	prōvinciae
jam	iam
adclāmāverant	acclāmāverant
jūstam	iūstam
conjūrātiōnem	coniūrātiōnem
exactō	exāctō
conlūcēre	collūcēre
inpedientibus	impedientibus
conjūnctam	coniūnctam
conloquī	colloquī
inparēs	imparēs
iēiūnia	ieiūnia
iēiūna	ieiūna
nāuibus	nāvibus
fabulārum	fābulārum
adtinuissent	attinuissent
iēiunāns	ieiūnāns
inprūdentī	imprūdentī
quaecunque	quaecumque
fabulōsum	fābulōsum
inpellere	impellere
iēiūnus	ieiūnus
jovem	iovem
inmūnis	immūnis
iēiūniī	ieiūniī
iēiuniīs	ieiuniīs
fabulīs	fābulīs
adcelerantur	accelerantur
adpositum	appositum
adpetēbat	appetēbat
nullātenus	nūllātenus
gēryone	gēryōne
inmōtum	immōtum
pēne	paene
poëtīs	poētīs
jūstum	iūstum
subfūderat	suffūderat
nonnulla	nōnnūlla
adpositō	appositō
jūdiciō	iūdiciō
connexās	cōnexās
cujus	cuius
adgestūs	aggestūs
conlāpsam	collāpsam
convocāverīs	convocāveris
conloquium	colloquium
hujus	huius
adtrectāre	attrectāre
inprūdēns	imprūdēns
conliget	colliget
jūstīs	iūstīs
inpositum	impositum
inmedicābile	immedicābile
miserīs	miseris
jūnxērunt	iūnxērunt
jūre	iūre
inmēnsō	immēnsō
conpressit	compressit
conloquiīs	colloquiīs
adgressa	aggressa
jubet	iubet
qucmque	quacumque
conprēnsus	comprēnsus
inpulsōs	impulsōs
majōribus	maiōribus
tēmptābat	temptābat
inpedītus	impedītus
nouōs	novōs
inpatiēns	impatiēns
conlocat	collocat
inpotentiā	impotentiā
assumpserat	assūmpserat
ccrtāmine	certāmine
prōuinciam	prōvinciam
intervallum	intervāllum
inposuit	imposuit
nemorumque	nemōrum
inprōvīsā	imprōvīsā
jūdicārit	iūdicārit
inpōnō	impōnō
conrōsit	corrōsit
inminēre	imminēre
injūriā	iniūriā
amo	amō
conplexus	complexus
inminet	imminet
conpertum	compertum
inpia	impia
bructerōs	brūcterōs
inpluit	impluit
nonnullās	nōnnūllās
conligenda	colligenda
conjūrātōrum	coniūrātōrum
iūssīs	iussīs
conlēctā	collēctā
inpedītius	impedītius
jusserō	iusserō
conpungam	compungam
adpropinquāre	appropinquāre
jubeō	iubeō
jactābit	iactābit
conpressam	compressam
jūdicat	iūdicat
honestas	honestās
ēduxī	ēdūxī
humerīs	umerīs
herīs	erīs
opīnione	opīniōne
conjūnctōs	coniūnctōs
inpositās	impositās
inportuna	importuna
inmītior	immītior
jūra	iūra
inpēnsior	impēnsior
inmittite	immittite
iuuat	ivuat
ēgerīs	ēgeris
disruptō	dīruptō
conditio	conditiō
ūtrinque	utrīque
adgreditur	aggreditur
jactantur	iactantur
adprobāverant	approbāverant
conjūrātiōnis	coniūrātiōnis
adclāmāvēre	acclāmāvēre
inpūnītam	impūnītam
inprōvīsō	imprōvīsō
conligāta	colligāta
inmeritum	immeritum
adcelerābō	accelerābō
inplicuit	implicuit
ējēcerit	ēiēcerit
inmundās	immundās
imprōuidus	imprōvidus
jūpiter	iūpiter
adcurritur	accurritur
fīscī	fiscī
conlūcent	collūcent
inpiger	impiger
inplācābilius	implācābilius
adproperat	approperat
jūdicārem	iūdicārem
crēdulos	crēdulōs
alicujus	alicuius
mōuī	mōvī
jovī	iovī
aestimāverīs	aestimāveris
inpulsū	impulsū
reddiderīs	reddideris
inparem	imparem
jānuāriās	iānuāriās
conlocāvit	collocāvit
jussū	iussū
inminēns	imminēns
coelibātum	caelibātum
inplācābilis	implācābilis
noua	nova
pugna	pūgna
complēctitur	complectitur
jūcundus	iūcundus
conpertō	compertō
inluuiē	inluviē
inprōvīsus	imprōvīsus
conlāpsī	collāpsī
trōia	troia
adgrederis	aggrederis
tantummodo	tantummodō
inplet	implet
adfero	adferō
adgressī	aggressī
inplēvit	implēvit
ejusdem	eiusdem
jocum	iocum
adgressus	aggressus
jūdicium	iūdicium
inmūnēs	immūnēs
ējectus	ēiectus
inpōneret	impōneret
inplent	implent
trōiā	troiā
conlocāta	collocāta
inpedit	impedit
inpedīta	impedīta
pinūs	pīnūs
jacēre	iacēre
ergone	ergō
nouō	novō
adpropinquābant	appropinquābant
pugnā	pūgnā
inperītum	imperītum
rīdeo	rīdeō
adcursū	accursū
inprosperē	improsperē
inperītōs	imperītōs
praestiterīs	praestiteris
inpavidus	impavidus
conparātiōnis	comparātiōnis
adpeterem	appeterem
adgredior	aggredior
nonnullīs	nōnnūllīs
adpetit	appetit
inminentīs	imminentīs
adpropinquat	appropinquat
adgregārit	aggregārit
adgrediar	aggrediar
iuuenem	ivuenem
inperfecta	imperfecta
inminentem	imminentem
inmaduisse	immaduisse
biberīs	biberis
pugnāueritis	pugnāveritis
conruit	corruit
sējungātur	sēiungātur
juppiter	iuppiter
